customer_id,name,city,signup_date,total_orders,lifetime_spending
611,Tara Holmes,Sydney,2021-10-15,3,145169.05
689,Misty Mcguire,Toronto,2020-08-25,2,107213.91
1259,Matthew Perez,Los Angeles,2023-02-25,2,94519.39
1217,Virginia Hernandez,Paris,2022-07-07,4,77530.81
528,Brent Hopkins,Vancouver,2023-10-12,6,72405.36
2445,Virginia Rose,Bangkok,2023-11-26,3,72021.09
1993,Chelsea Austin,Sydney,2020-04-27,1,70254.39
1347,Evan Davies,Paris,2020-05-28,2,70236.44
1533,Lauren Anthony,Vancouver,2023-10-03,5,59602.71
1180,Tammy Booth,Mumbai,2022-03-30,5,42127.63
634,Dr. Samuel Holmes DDS,New York,2019-04-09,6,41632.49
1316,Susan Sanchez,Bangkok,2024-04-25,5,40678.11
1357,Ashley Cordova,Singapore,2022-11-28,4,39417.3
1999,Kayla Fisher,Chicago,2019-10-17,6,38890.85
123,Mary Grimes,Chicago,2022-07-30,4,38698.77
2287,Norma Smith,Manchester,2023-02-04,4,38640.02
1455,Mark Lopez,,2019-07-07,3,38024.31
298,Austin Wheeler,Mumbai,2019-04-24,2,38003.02
2255,Melissa Sullivan,Paris,2020-01-06,2,37956.43
469,Alicia Roth,Vancouver,2022-03-18,5,37892.18
