customer_id,name,city,country,last_order_date,completed_orders,lifetime_revenue,days_since_last_order,customer_status
689,Misty Mcguire,Toronto,Canada,2023-09-09,2,107213.914,479,High-value churn risk
1259,Matthew Perez,Los Angeles,USA,2024-07-11,2,94519.39000000001,173,High-value churn risk
1217,Virginia Hernandez,Paris,France,2024-08-12,4,77530.8095,141,High-value churn risk
1993,Chelsea Austin,Sydney,Australia,2022-03-23,1,70254.39,1014,High-value churn risk
1347,Evan Davies,Paris,France,2023-08-23,2,70236.44,496,High-value churn risk
1180,Tammy Booth,Mumbai,India,2024-08-14,5,42127.627,139,High-value churn risk
634,Dr. Samuel Holmes DDS,New York,USA,2024-08-26,6,41632.4925,127,High-value churn risk
1357,Ashley Cordova,Singapore,Singapore,2024-01-31,4,39417.303,335,High-value churn risk
1999,Kayla Fisher,Chicago,USA,2024-02-11,6,38890.854,324,High-value churn risk
123,Mary Grimes,Chicago,USA,2024-04-05,4,38698.7715,270,High-value churn risk
2287,Norma Smith,Manchester,UK,2024-05-20,4,38640.024,225,High-value churn risk
298,Austin Wheeler,Mumbai,India,2024-01-29,2,38003.024,337,High-value churn risk
1786,Eric Hunter,Toronto,Canada,2024-08-19,4,37417.2795,134,High-value churn risk
988,Sandra Hunt,Munich,Germany,2024-06-17,4,37380.6825,197,High-value churn risk
2484,Brad Beard,New York,USA,2024-08-26,2,37093.98,127,High-value churn risk
29,Victoria Garcia,Sydney,Australia,2023-11-11,3,36670.4725,416,High-value churn risk
1897,Travis Moore,New York,USA,2023-08-05,3,35495.24,514,High-value churn risk
1995,Nathaniel Walter,Chicago,USA,2023-11-09,5,34805.479,418,High-value churn risk
1127,James Wells,Vancouver,Canada,2023-06-30,5,31570.420000000002,550,High-value churn risk
1726,Thomas Barton,Los Angeles,USA,2023-02-15,2,31272.364,685,High-value churn risk
971,Teresa Coffey DDS,London,UK,2024-06-22,6,31175.199,192,High-value churn risk
976,Pamela Hernandez DVM,Manchester,UK,2023-08-16,2,30173.74,503,High-value churn risk
1474,Bethany Holmes,Sydney,Australia,2022-07-17,1,28262.7855,898,High-value churn risk
519,Krystal Levine,Bangkok,Thailand,2023-07-01,3,27341.950999999997,549,High-value churn risk
207,Stacey Arias,New York,USA,2024-05-24,2,26716.886499999997,221,High-value churn risk
66,Colleen Brock,New York,USA,2024-05-02,3,25757.0915,243,High-value churn risk
613,Penny Gomez MD,Munich,Germany,2024-08-25,2,24310.643,128,High-value churn risk
785,Katelyn Kim,Mumbai,India,2023-01-12,1,22053.24,719,High-value churn risk
2463,Julie Mills,Sydney,Australia,2024-08-03,2,21235.568499999998,150,High-value churn risk
1647,Philip Kim,Melbourne,Australia,2023-12-30,5,20061.81,367,High-value churn risk
1668,Kathryn Rodriguez,New York,USA,2024-09-28,3,19859.019500000002,94,High-value churn risk
885,Amanda Mckenzie,Munich,Germany,2022-12-01,2,17765.2775,761,High-value churn risk
1429,Harold Mckinney,Berlin,Germany,2023-03-31,4,16976.127,641,High-value churn risk
2295,Sonya Wilcox,Manchester,UK,2024-06-29,6,16208.686,185,High-value churn risk
876,Audrey Johnson,Los Angeles,USA,2024-09-15,2,15800.231999999998,107,High-value churn risk
2105,Brandon Taylor,Manchester,UK,2024-08-18,3,15766.202500000001,135,High-value churn risk
1841,Matthew Gonzales,Chicago,USA,2023-11-01,2,15585.5715,426,High-value churn risk
1574,Peter Martin,Munich,Germany,2024-05-03,4,15522.5285,242,High-value churn risk
883,Leslie Bennett,New York,USA,2024-09-22,4,15453.748,100,High-value churn risk
237,Stephen Jones,New York,USA,2024-07-19,4,14359.09,165,High-value churn risk
163,Donald Schultz,Melbourne,Australia,2023-10-20,3,13986.105,438,High-value churn risk
350,Brett Walker,Singapore,Singapore,2024-05-07,3,13888.11,238,High-value churn risk
2280,Marcus Rich,Chicago,USA,2024-01-02,4,13777.065,364,High-value churn risk
1369,Ryan Pope,New York,USA,2023-10-04,5,13604.0425,454,High-value churn risk
1860,Brandon Huynh,Bangkok,Thailand,2024-10-02,3,13564.177,90,High-value churn risk
1067,Erica Clark,London,UK,2023-11-03,1,13474.644,424,High-value churn risk
1263,Mrs. Katherine Simpson,New York,USA,2024-07-30,6,13193.226,154,High-value churn risk
2460,William Barnett,,Germany,2024-05-27,4,13158.856,218,High-value churn risk
